method,model_seed,condition,condition_group,episodes,success_rate,collision_rate,timeout_rate,reward_mean,steps_mean,final_distance_mean,best_distance_mean,min_obstacle_distance_mean,avg_speed_mean,path_length_mean,path_efficiency_mean,successful_path_stretch_mean
HW_GA_SAC,2,moderate_noise,noise_curve,50,0.98,0.0,0.02,211.59676141772877,983.66,10.29355905532837,9.91085874557495,5.005712915211916,13.731426628265165,1340.2351786446372,0.6965666600657003,1.4283813903071254
HW_GA_SAC,2,moderate_noise_latency_50ms,combined,50,0.98,0.0,0.02,210.39404492738325,985.18,10.26568838119507,9.901410598754882,5.414772834777832,13.672222506939171,1337.8689606500789,0.6977458937997473,1.425786035973615
HW_GA_SAC,3,clean,clean,50,0.9,0.1,0.0,167.079651207678,790.12,49.65533054351807,49.10796695709229,6.112298140712082,13.157167080757507,1032.6446417134625,0.9589638799490301,1.1542325484495166
HW_GA_SAC,3,latency_10ms,latency_curve,50,0.94,0.06,0.0,182.1190184510429,836.32,22.33071823120117,21.797026977539062,6.34709107901901,12.918115640668102,1069.893076431558,0.8782338923039852,1.1614420231761502
HW_GA_SAC,3,latency_30ms,latency_curve,50,0.94,0.06,0.0,182.0924123955713,833.78,22.334600505828856,21.800911693573,6.342092816084623,12.932986373625065,1068.9443225811526,0.8788258384560664,1.1603871827299044
HW_GA_SAC,3,latency_50ms,latency_curve,50,0.94,0.06,0.0,182.08353132512673,838.22,22.308470249176025,21.789104557037355,6.347139679677785,12.911609292911052,1070.996412558327,0.877633806606557,1.16271409184195
HW_GA_SAC,3,mild_noise,noise_curve,50,0.96,0.04,0.0,193.11218934064095,803.66,29.79586751937866,29.79560750961304,6.321289162635804,13.152753649310448,1050.1176213091887,0.9297336198436824,1.1542218854886386
HW_GA_SAC,3,mild_noise_latency_30ms,combined,50,1.0,0.0,0.0,208.2935709342733,839.18,9.931308250427247,9.931308250427247,6.879860844612121,12.927616975504554,1078.3164702656263,0.8662663160251088,1.1576406856403019
HW_GA_SAC,3,moderate_noise,noise_curve,50,0.98,0.02,0.0,192.62156130201166,849.78,10.883974151611328,10.804470443725586,6.510365526080132,12.735368644826782,1072.9849315751387,0.8706824576159019,1.154231101907032
HW_GA_SAC,3,moderate_noise_latency_50ms,combined,50,0.98,0.02,0.0,202.18170553937492,863.22,15.555032749176025,15.551778354644775,6.632385177398101,12.546110093993754,1073.6968192256356,0.8743222631691697,1.1612995782647415
HW_GA_SAC,4,clean,clean,50,0.98,0.0,0.02,218.3470856457511,840.88,10.581598091125489,9.975858592987061,20.217190141677857,14.55296711861833,1202.0218456422015,0.777874624947066,1.2804611135176456
HW_GA_SAC,4,latency_10ms,latency_curve,50,0.98,0.0,0.02,216.25183209192141,844.7,10.559281864166259,10.149146556854248,20.113248167037963,14.499936245275697,1205.3030405911145,0.7763628092151778,1.2817811458991588
